"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.693916740E-3,-1.423459919E0,-5.238020566E-1,-1.574438828E0
1.164891664E-2,-1.631244528E0,-3.790384457E-1,-1.623859495E0
2.160483343E-2,-1.453675699E0,-3.408223598E-1,-1.366065697E0
3.156083333E-2,-1.138297205E0,-3.730484118E-1,-8.352694935E-1
4.151683324E-2,-9.104692183E-1,-4.206657971E-1,-2.018868148E-1
5.147183337E-2,-7.515452591E-1,-3.526686725E-1,3.039838779E-1
6.142783328E-2,-7.208906463E-1,-1.361951011E-1,5.538172764E-1
7.138383342E-2,-6.028904723E-1,-6.156416416E-2,6.076660395E-1
8.133983333E-2,-4.359339005E-1,7.667453885E-3,6.558599603E-1
9.129483323E-2,-3.424755138E-1,1.129807779E-1,5.472198629E-1
1.012508334E-1,-3.118124226E-1,2.291775244E-1,1.975142670E-1
1.112068333E-1,-2.667011538E-1,3.712783134E-1,-2.006039357E-1
1.211618334E-1,-1.093373778E-1,6.730655386E-1,-5.299489421E-1
1.311178333E-1,-2.502500126E-1,6.892070697E-1,-6.889341509E-1
1.410738332E-1,-4.996210425E-1,5.891828446E-1,-9.551701587E-1
1.510298334E-1,-3.849577282E-1,4.620949280E-1,-9.252534646E-1
1.609848333E-1,-5.633308424E-1,1.898159690E-1,-4.725380552E-1
1.709408334E-1,-8.681592044E-1,-1.821637179E-1,-1.615989143E-1
1.808968333E-1,-1.353840339E0,-5.647406061E-1,3.026869655E-2
1.908518334E-1,-1.698206550E0,-7.528705305E-1,1.583858693E-1
2.008078333E-1,-1.861993200E0,-7.975074439E-1,3.773442149E-1
2.107638333E-1,-1.974785551E0,-8.198938014E-1,7.365620613E-1
2.207198334E-1,-1.878836397E0,-7.681816839E-1,1.199901862E0
2.306748333E-1,-1.520625295E0,-5.607286122E-1,1.527317871E0
2.406308334E-1,-9.397187452E-1,-2.092979414E-1,1.631553846E0
2.505868333E-1,-3.196377513E-1,1.628624976E-2,1.464988891E0
2.605418332E-1,3.678059444E-1,2.015286729E-2,9.387967855E-1
2.704978334E-1,8.125068676E-1,1.300008532E-1,5.415726221E-1
2.804538333E-1,9.619431348E-1,4.157847608E-1,5.437840390E-1
2.904098334E-1,1.068397835E0,6.768150656E-1,7.544978106E-1
3.003648333E-1,1.181872922E0,7.119185324E-1,7.886496431E-1
3.103208332E-1,1.303700172E0,3.740225213E-1,7.440523446E-1
3.202768334E-1,1.421124688E0,6.158020746E-2,8.389561629E-1
3.302318333E-1,1.377587197E0,-1.312332270E-1,9.494907582E-1
3.401878334E-1,1.159707005E0,-2.997252411E-1,9.485604662E-1
3.501438333E-1,9.360304677E-1,-5.151811411E-1,1.008546467E0
3.600998332E-1,8.392154139E-1,-5.155334724E-1,1.336340207E0
3.700548334E-1,9.023856620E-1,-2.011638797E-1,1.679323259E0
3.800108333E-1,6.177087785E-1,-2.165899675E-1,2.022223865E0
3.899668334E-1,3.089526956E-1,-3.129081542E-1,2.264223749E0
3.999228333E-1,2.052566200E-1,-4.149584761E-1,2.154967355E0
4.098778334E-1,2.176099046E-1,-5.224876756E-1,1.791191019E0
4.198338334E-1,2.565494555E-1,-2.430113058E-1,1.026680437E0
4.297898333E-1,4.550996116E-1,1.865680600E-1,3.920751053E-1
4.397448334E-1,5.546090990E-1,3.099428485E-1,-1.207859337E-2
4.497008333E-1,5.428951161E-1,2.344335866E-1,-1.489332604E-1
4.596568334E-1,4.884636779E-1,-5.644624248E-2,-1.228096551E-1
4.696128333E-1,2.519654212E-1,-3.383050603E-1,-1.310571527E-1
4.795678332E-1,-1.362931060E-1,-4.875572133E-1,-2.601665980E-1
4.895238334E-1,-4.033153541E-1,-5.175073828E-1,-4.193944663E-1
4.994798333E-1,-4.966741920E-1,-5.822005382E-1,-6.050178355E-1
5.094348334E-1,-5.702558461E-1,-6.834045853E-1,-4.568686867E-1
5.193908333E-1,-6.067201427E-1,-7.579184318E-1,-5.520297825E-2
5.293468332E-1,-5.504330907E-1,-7.838851856E-1,1.360992068E-1
5.393028334E-1,-5.531979831E-1,-7.668444988E-1,3.257659256E-2
5.492578333E-1,-6.700121225E-1,-6.966700172E-1,-3.509130460E-1
5.592138334E-1,-7.435485338E-1,-5.892262602E-1,-6.232517928E-1
5.691698333E-1,-5.831693122E-1,-4.063325174E-1,-9.457257360E-1
5.791248332E-1,-2.744456448E-1,-2.458945678E-1,-1.218556818E0
5.890808334E-1,1.462824252E-1,4.725895107E-2,-9.615108794E-1
5.990368333E-1,4.564531689E-1,3.503493744E-1,-7.980952352E-1
6.089928334E-1,5.761992484E-1,5.073596862E-1,-7.100168717E-1
6.189478333E-1,6.075383874E-1,3.684475301E-1,-5.736282277E-1
6.289038332E-1,4.727864157E-1,2.055489260E-1,-5.886257511E-1
6.388598334E-1,2.196812808E-1,3.123290241E-2,-5.334800756E-1
6.488148333E-1,-5.610458236E-2,-1.796021989E-1,-4.485627168E-1
6.587708334E-1,-2.687472408E-1,-2.183559363E-1,-2.657389945E-1
6.687268333E-1,-3.488723312E-1,-1.649435216E-1,-1.166361648E-1
6.786818334E-1,-1.965433734E-1,-2.299369316E-1,-1.491946310E-1
6.886378333E-1,8.117455602E-2,-7.064255118E-2,-3.410698432E-1
6.985938333E-1,2.651605221E-1,4.523391411E-1,-7.423034424E-1
7.085498334E-1,2.274914067E-2,2.948514041E-1,-7.296108913E-1
7.185048333E-1,-9.616699968E-2,6.844268247E-2,-6.983335501E-1
7.284608334E-1,-1.370671220E-1,-1.088244309E-1,-7.589650834E-1
7.384168333E-1,-1.124859938E-1,-1.604230392E-1,-6.802276468E-1
7.483718332E-1,2.134982888E-3,-7.601701945E-2,-6.293527776E-1
7.583278334E-1,1.900846851E-1,6.890139654E-2,-5.234620410E-1
7.682838333E-1,3.111616275E-1,1.300775979E-1,-3.733979291E-1
7.782398334E-1,2.677103467E-1,4.930474564E-2,-1.628490490E-1
7.881948333E-1,2.110694285E-1,-1.279322545E-1,1.633425540E-1
7.981508332E-1,3.776625593E-1,-2.632194293E-1,1.725238520E-1
8.081068334E-1,5.419553954E-1,-2.711212103E-1,-5.840491354E-2
8.180618333E-1,5.719818711E-1,-1.776702788E-1,-3.638020635E-2
8.280178334E-1,5.537692196E-1,-7.422747910E-2,-1.267594492E-1
8.379738333E-1,5.323634767E-1,3.195064813E-3,-2.695496249E-1
8.479298332E-1,5.085750665E-1,6.785591438E-2,-2.713423812E-1
8.578848334E-1,3.972033327E-1,7.177749574E-2,-1.178903925E-1
8.678408333E-1,2.195452599E-1,9.169267371E-2,1.010679531E-1
8.777968334E-1,1.629648604E-1,6.034224227E-2,3.397536349E-1
8.877518333E-1,1.774993574E-1,-3.209039658E-2,5.613233471E-1
8.977078334E-1,1.365216681E-1,-1.367768991E-1,5.181527692E-1
9.076638333E-1,4.864019131E-2,-1.880493790E-1,2.429342687E-1
9.176198333E-1,6.707779616E-3,-1.328178956E-1,-4.053874612E-2
9.275748334E-1,3.411869519E-2,-4.251627445E-2,-2.231712645E-1
9.375308333E-1,8.511847557E-2,4.738744363E-2,-3.272283143E-1
9.474868334E-1,8.552154059E-2,1.097919989E-1,-3.728605700E-1
9.574418333E-1,2.155449970E-2,1.348832783E-1,-4.485188627E-1
9.673978332E-1,-7.504510257E-2,8.841048539E-2,-4.629328340E-1
9.773538334E-1,-1.016563200E-1,2.134087533E-2,-3.427936023E-1
9.873088333E-1,-1.281686556E-1,-2.189241394E-2,-2.328694564E-1
9.972648334E-1,-1.861175320E-1,-4.165439487E-2,-1.541460532E-1
1.007220833E0,-1.921594234E-1,-5.125932366E-2,-6.726461470E-2
1.017176833E0,-1.792477480E-1,-1.125321503E-1,-3.579256117E-2
1.027131833E0,-2.186033831E-1,-2.109343578E-1,-2.141133428E-2
1.037087833E0,-2.472577182E-1,-2.159919070E-1,9.915123582E-2
1.047043833E0,-2.845973430E-1,-1.770558827E-1,3.037955976E-1
1.056998833E0,-3.278690960E-1,-1.453093024E-1,4.807136321E-1
1.066954833E0,-3.389059348E-1,-1.092088853E-1,5.323960018E-1
1.076910833E0,-3.422157513E-1,-6.662843764E-2,4.340458345E-1
1.086866833E0,-2.859199284E-1,-3.111712754E-2,3.653252631E-1
1.096821833E0,-1.704468479E-1,-3.170798868E-2,3.461013722E-1
1.106777833E0,-4.530952591E-3,-2.916693494E-2,3.261875099E-1
1.116733833E0,9.216638954E-2,-4.790769964E-2,1.654551530E-1
1.126688833E0,1.276594088E-1,-1.895418808E-2,-2.740005255E-3
1.136644833E0,1.540910711E-1,3.532244503E-2,-9.289354563E-2
1.146600833E0,2.316865647E-1,3.380955108E-2,-6.505670607E-2
1.156555833E0,2.575613710E-1,-3.621341452E-2,9.294734001E-3
1.166511833E0,2.175522182E-1,-1.261699768E-1,1.262027943E-1
1.176467833E0,1.543924037E-1,-1.914887112E-1,3.114034098E-1
1.186423833E0,8.333089951E-2,-2.506271580E-1,4.778537589E-1
1.196378833E0,3.174709193E-3,-2.766982846E-1,4.037157422E-1
1.206334833E0,-5.297946487E-2,-2.408134836E-1,1.748984063E-1
1.216290833E0,-7.604981868E-2,-1.607395928E-1,-1.090037942E-1
1.226245833E0,-5.580906043E-2,-9.628200710E-2,-3.442179841E-1
1.236201833E0,-2.575572414E-2,-9.784803763E-3,-5.294495898E-1
1.246157833E0,4.416780224E-2,3.794302091E-2,-6.496817923E-1
1.256113833E0,1.085329472E-1,6.016733743E-2,-5.801899731E-1
1.266068833E0,1.543467589E-1,6.513783619E-2,-3.631448364E-1
1.276024833E0,1.928959899E-1,7.928100832E-2,-4.381318688E-3
1.285980833E0,2.653632378E-1,8.388327867E-2,4.338955611E-1
1.295935833E0,2.052599639E-1,6.764344119E-2,5.727084607E-1
1.305891833E0,1.284325386E-2,3.583166443E-2,4.142296207E-1
1.315847833E0,-9.071182156E-2,1.312115192E-3,2.192197162E-1
1.325802833E0,-9.530316493E-2,-3.881732583E-2,1.347046459E-1
1.335758833E0,-7.008485472E-2,-5.711626031E-2,1.096861643E-1
1.345714833E0,-2.351220232E-3,-4.941957034E-2,1.327762341E-1
1.355670833E0,3.176938444E-2,-3.223146066E-2,2.053267318E-1
1.365625833E0,5.251132216E-2,-4.135245927E-2,2.847447842E-1
1.375581833E0,2.641965721E-2,-6.130103946E-2,3.031225830E-1
1.385537833E0,-3.786069394E-2,-8.425567321E-2,3.090218389E-1
1.395492833E0,-6.982585961E-2,-1.063036962E-1,2.413128358E-1
1.405448833E0,-4.539992021E-2,-1.120455158E-1,7.668389440E-2
1.415404833E0,-1.730777660E-2,-1.160141672E-1,-6.105311751E-2
1.425359833E0,1.970510761E-2,-9.528710335E-2,-7.943033159E-2
1.435315833E0,7.173653782E-2,5.318334997E-3,-7.633656979E-2
1.445271833E0,1.230797873E-1,6.628579080E-2,-7.122727275E-2
1.455227833E0,1.470683276E-1,7.552899621E-2,-4.626901746E-3
1.465182833E0,1.710543005E-1,3.345309019E-2,8.584940493E-2
1.475138833E0,1.341373198E-1,4.007169977E-3,1.546471596E-1
1.485094833E0,1.261142912E-1,3.159835339E-3,1.774039382E-1
1.495049833E0,1.450282523E-1,1.102192841E-2,2.178894746E-1
1.505005833E0,1.775535538E-1,-2.199649438E-3,2.067417580E-1
1.514961833E0,1.620630187E-1,-5.669606477E-3,1.135348016E-1
1.524916833E0,1.015456249E-1,7.104293928E-3,4.777526021E-2
1.534872833E0,6.237817881E-2,-1.924464852E-4,2.066406012E-2
1.544828833E0,2.748328401E-3,-3.697581835E-2,-2.711821675E-2
1.554784833E0,-9.545032290E-2,-4.518794037E-2,-6.685530961E-2
1.564739833E0,-1.523779009E-1,-8.427679628E-2,-6.366565347E-2
1.574695833E0,-1.240377988E-1,-1.165865365E-1,-3.444945574E-2
1.584651833E0,-4.879169815E-2,-1.072521146E-1,-4.942242086E-2
1.594606833E0,2.546562916E-3,-7.067580722E-2,-6.279851139E-2
1.604562833E0,2.255769918E-2,-3.454374209E-2,-6.947193861E-2
1.614518833E0,5.161356443E-2,-6.108366922E-3,1.622134566E-2
1.624473833E0,3.882098034E-2,3.796779849E-2,4.565213621E-2
1.634429833E0,-6.597027870E-2,5.057783067E-2,-4.378687441E-2
1.644385833E0,-9.965183057E-2,-8.404860869E-3,-1.413617009E-1
1.654341833E0,-9.906891799E-3,-2.135264285E-2,-1.116145760E-1
1.664296833E0,1.015129445E-1,5.791667104E-4,-7.694818854E-2
1.674252833E0,1.438988809E-1,4.064779669E-2,-8.742932260E-2
1.684208833E0,1.201903491E-1,6.081922889E-2,-1.314214343E-1
