"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.394969940E-1,6.506086559E1,2.546770980E1,1.605805108E1,NaN,NaN,2.177510141E1,3.000000000E1
3.293253779E0,6.506100114E1,2.546801858E1,-4.070639254E0,1.498682797E-2,NaN,1.400000000E1,3.632775116E1
4.293251753E0,6.506097912E1,2.546800011E1,-1.356997272E1,3.192302212E-2,NaN,1.067448737E1,2.967671585E1
5.293246269E0,6.506095991E1,2.546797796E1,-1.669048654E1,3.907385468E-2,NaN,1.400000000E1,2.572244453E1
6.293244958E0,6.506094702E1,2.546800451E1,-6.169507669E0,5.587407853E-3,NaN,1.400000000E1,1.906657219E1
7.835243106E0,6.506094285E1,2.546800908E1,-1.683708118E0,3.383511305E-2,NaN,6.645897997E0,1.364981651E1
8.835242391E0,6.506093253E1,2.546798916E1,1.062222419E0,9.450185113E-3,NaN,6.070547909E0,1.180665302E1
9.835165739E0,6.506092225E1,2.546798154E1,3.081536002E0,2.957737073E-2,NaN,5.528194967E0,1.027210045E1
1.083516347E1,6.506091603E1,2.546797543E1,4.432055715E0,8.577215485E-3,NaN,5.429584997E0,9.282242775E0
1.183516991E1,6.506091033E1,2.546796442E1,6.089613247E0,6.051169336E-2,NaN,5.263768817E0,8.356649399E0
1.283517623E1,6.506091009E1,2.546796554E1,6.964978308E0,2.003979310E-2,NaN,5.149145940E0,7.684266567E0
1.383518350E1,6.506090809E1,2.546796066E1,7.545443087E0,1.755191386E-2,NaN,4.989727686E0,7.123445988E0
1.483518898E1,6.506090441E1,2.546795574E1,7.835534700E0,1.368510630E-2,NaN,4.854054643E0,6.703602791E0
1.583519351E1,6.506090441E1,2.546795574E1,7.835649210E0,1.368510630E-2,NaN,4.854054643E0,6.703602791E0
1.683519888E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,6.400294244E0
1.783520436E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,6.347557707E0
1.883520639E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,6.056715680E0
1.983520961E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,5.788825513E0
2.083521366E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,5.576427613E0
2.183521616E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,5.435819715E0
2.283522046E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,5.630949488E0
2.383522356E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,NaN,4.748651530E0,5.202409307E0
2.483522511E1,6.506090441E1,2.546795574E1,7.835649210E0,0.000000000E0,4.013580601E-5,4.748651530E0,4.876039958E0
2.583522809E1,6.506087399E1,2.546791894E1,1.084686992E1,5.840559006E-1,1.295847618E2,4.748651530E0,4.868818865E0
2.683523047E1,6.506087739E1,2.546796352E1,1.101249045E1,1.089569330E0,9.182305562E1,4.748651530E0,5.084599430E0
2.783523190E1,6.506087612E1,2.546799289E1,1.106091540E1,1.089569330E0,8.661906616E1,4.748651530E0,4.542027652E0
2.883523393E1,6.506087581E1,2.546802625E1,1.084509109E1,1.222461462E0,9.107135488E1,4.748651530E0,4.882609160E0
2.983523655E1,6.506087543E1,2.546805379E1,1.099194452E1,1.265405059E0,9.096113695E1,4.748651530E0,5.192337110E0
3.083523822E1,6.506087151E1,2.546808176E1,1.120545859E1,1.265405059E0,9.929458214E1,4.748651530E0,4.714582247E0
3.183524108E1,6.506086908E1,2.546811383E1,1.122054627E1,1.265405059E0,8.798004623E1,4.748651530E0,5.231260310E0
3.283524299E1,6.506086524E1,2.546814641E1,1.127659043E1,1.354497313E0,9.152397357E1,4.748651530E0,4.862809719E0
3.383524573E1,6.506086459E1,2.546817700E1,1.133249392E1,1.370461226E0,8.721635796E1,4.748651530E0,4.532424807E0
3.483524692E1,6.506086187E1,2.546820204E1,1.112995885E1,1.373532891E0,8.722596809E1,4.748651530E0,5.232395443E0
3.583524966E1,6.506087992E1,2.546822918E1,1.393877165E1,1.314533486E0,8.452646331E1,3.795830215E0,3.000000000E0
3.683525169E1,6.506088177E1,2.546825002E1,1.340325236E1,1.276423686E0,8.138890782E1,3.299933196E0,3.000000000E0
3.783525240E1,6.506087898E1,2.546827184E1,1.275192601E1,1.470159940E0,8.944143607E1,3.215472317E0,3.000000000E0
3.883525538E1,6.506087725E1,2.546829693E1,1.248753614E1,1.502971173E0,8.863421447E1,3.172475942E0,3.000000000E0
3.983525622E1,6.506087628E1,2.546832001E1,1.199358080E1,1.399137182E0,8.721259634E1,3.027243391E0,3.000000000E0
4.083525884E1,6.506087628E1,2.546835421E1,1.173469397E1,1.491616644E0,9.029154631E1,2.876128718E0,3.000000000E0
4.183526134E1,6.506087385E1,2.546838713E1,1.134852188E1,1.499124286E0,9.063799701E1,2.750967475E0,3.000000000E0
4.283526254E1,6.506087523E1,2.546841892E1,1.110210617E1,1.449726286E0,9.230222661E1,2.695357894E0,3.000000000E0
4.383526456E1,6.506087246E1,2.546844551E1,1.067149820E1,1.401644715E0,9.524677860E1,2.658382781E0,3.000000000E0
4.483526719E1,6.506087166E1,2.546847608E1,1.045622850E1,1.396080168E0,9.187210715E1,2.609249968E0,3.000000000E0
4.583526814E1,6.506087245E1,2.546851554E1,1.041522912E1,1.469465349E0,9.010788344E1,2.655163489E0,3.000000000E0
4.683527064E1,6.506087181E1,2.546854712E1,1.044616846E1,1.472040992E0,8.620222856E1,2.739278067E0,3.000000000E0
4.783527243E1,6.506087247E1,2.546857684E1,1.031969990E1,1.454002780E0,8.693349708E1,2.777164094E0,3.000000000E0
4.883527458E1,6.506087236E1,2.546861497E1,9.878456667E0,1.517332746E0,8.974633413E1,2.810450143E0,3.537620815E0
4.983527625E1,6.506087043E1,2.546864879E1,9.757277608E0,1.591668217E0,9.392333962E1,2.823156707E0,3.706064306E0
5.083527815E1,6.506086813E1,2.546868238E1,9.788668612E0,1.572033604E0,9.329440638E1,2.781365221E0,3.765710021E0
5.183528030E1,6.506086856E1,2.546871495E1,9.650732740E0,1.569416586E0,9.075318960E1,2.735402559E0,3.667149219E0
5.283528125E1,6.506086864E1,2.546874548E1,9.694568916E0,1.582175402E0,8.871691810E1,2.694546867E0,3.630910178E0
5.383528364E1,6.506087012E1,2.546877615E1,9.307224130E0,1.579550752E0,8.669141581E1,2.658162326E0,3.693067905E0
5.483528483E1,6.506086731E1,2.546880521E1,9.119984752E0,1.575320163E0,9.305518531E1,2.648158855E0,3.603049358E0
5.583528662E1,6.506086312E1,2.546883178E1,8.416758050E0,1.551326091E0,9.834093054E1,2.676247950E0,3.695880047E0
5.683528936E1,6.506086215E1,2.546886070E1,8.136501305E0,1.544295142E0,9.668290601E1,2.642435550E0,3.605899325E0
5.783529079E1,6.506086208E1,2.546889195E1,8.015611441E0,1.543077572E0,9.476029185E1,2.644310902E0,3.713594946E0
5.883529222E1,6.506085959E1,2.546892185E1,7.777733609E0,1.568480152E0,9.659133454E1,2.634074644E0,3.836252534E0
5.983529413E1,6.506085713E1,2.546895155E1,7.041313669E0,1.494922680E0,9.915414275E1,2.723436696E0,3.874825793E0
6.083529639E1,6.506086284E1,2.546898455E1,7.188277816E0,1.540225478E0,8.431683124E1,2.747662502E0,3.875492819E0
6.183529818E1,6.506086191E1,2.546901459E1,7.219728985E0,1.550436617E0,8.639215450E1,2.734824724E0,3.814319955E0
6.283529925E1,6.506085883E1,2.546904711E1,7.237085184E0,1.554695891E0,9.271039532E1,2.777963181E0,3.847507354E0
6.383530176E1,6.506085928E1,2.546907900E1,7.394218030E0,1.564808450E0,9.063337238E1,2.809007388E0,4.035187988E0
6.483530366E1,6.506085810E1,2.546910826E1,7.001307497E0,1.544625440E0,9.249179037E1,2.768557045E0,3.749084132E0
6.583530462E1,6.506085407E1,2.546913764E1,6.534022423E0,1.543978257E0,9.711333734E1,2.798450136E0,3.602707414E0
6.683530736E1,6.506085316E1,2.546916646E1,6.012607617E0,1.486561970E0,9.696054746E1,2.913195475E0,3.829881760E0
6.783530867E1,6.506085327E1,2.546919688E1,5.913142975E0,1.487835435E0,9.415485878E1,2.937863935E0,3.865876047E0
6.883531070E1,6.506085333E1,2.546923052E1,6.067886367E0,1.564014885E0,9.330978743E1,2.945059495E0,3.973853792E0
6.983531177E1,6.506085174E1,2.546926154E1,6.036615813E0,1.566160160E0,9.475587738E1,2.955939416E0,3.875400336E0
7.083531344E1,6.506085109E1,2.546929601E1,6.290242725E0,1.580436142E0,9.406696129E1,2.934973910E0,4.003040759E0
7.183531594E1,6.506084984E1,2.546932708E1,6.289838363E0,1.555315043E0,9.546440484E1,2.892358223E0,3.942536526E0
7.283531737E1,6.506085014E1,2.546936087E1,6.278029502E0,1.561574434E0,9.280789717E1,2.865931587E0,3.949050949E0
7.383531916E1,6.506085158E1,2.546939344E1,6.151119791E0,1.550535493E0,8.960754688E1,2.906722800E0,3.947475460E0
7.483532107E1,6.506085351E1,2.546942813E1,6.664977165E0,1.583151115E0,8.800996620E1,2.903558565E0,3.969159483E0
7.583532333E1,6.506085264E1,2.546945852E1,6.193908620E0,1.515098034E0,9.357930863E1,2.874784814E0,4.021227961E0
7.683532429E1,6.506085285E1,2.546948752E1,6.334506011E0,1.472306934E0,9.426482927E1,2.848073272E0,4.097099402E0
7.783532584E1,6.506085238E1,2.546952058E1,6.313032988E0,1.532046751E0,9.422273263E1,2.840404899E0,3.998760780E0
7.883532786E1,6.506085385E1,2.546955425E1,6.671017199E0,1.551278360E0,9.087245403E1,2.808380958E0,4.172843304E0
7.983533037E1,6.506085456E1,2.546958674E1,6.536569436E0,1.577482674E0,8.802493529E1,2.871974279E0,4.163835153E0
8.083533180E1,6.506085282E1,2.546961801E1,6.516777155E0,1.561319371E0,9.064702749E1,2.847515119E0,4.350883008E0
8.183533370E1,6.506085302E1,2.546964999E1,6.467980504E0,1.563699157E0,8.903183216E1,2.915166099E0,4.435346121E0
8.283533537E1,6.506085485E1,2.546968122E1,5.775772449E0,1.548168180E0,8.783193310E1,2.882128248E0,4.338637735E0
8.383533740E1,6.506085443E1,2.546971383E1,5.966951026E0,1.540447801E0,9.009846057E1,2.879001929E0,4.169741664E0
8.483533895E1,6.506085549E1,2.546974784E1,6.347875733E0,1.571766949E0,9.107813423E1,2.892729725E0,4.258579802E0
8.583534038E1,6.506085655E1,2.546977789E1,6.293177938E0,1.544099650E0,8.809416622E1,2.866307289E0,4.217056296E0
8.683534241E1,6.506085737E1,2.546981010E1,6.244963971E0,1.528295565E0,8.922575952E1,2.843865164E0,4.226611379E0
8.783534396E1,6.506085781E1,2.546984313E1,6.420341246E0,1.567377449E0,8.826338193E1,2.893903783E0,4.162113586E0
8.883534610E1,6.506085606E1,2.546987465E1,6.162145628E0,1.552305700E0,9.283177528E1,2.929635404E0,4.198977397E0
8.983534741E1,6.506085691E1,2.546990665E1,6.310631045E0,1.567493770E0,9.119252398E1,2.918650041E0,4.227250244E0
9.083534980E1,6.506085752E1,2.546993805E1,6.155290467E0,1.563613700E0,8.996481548E1,2.940574980E0,4.373012865E0
9.183535123E1,6.506085723E1,2.546996736E1,5.804898150E0,1.527879603E0,8.997794947E1,2.902578334E0,4.289681584E0
9.283535278E1,6.506085653E1,2.546999894E1,5.686693291E0,1.526465291E0,9.261671403E1,2.924721062E0,4.219131369E0
9.383535445E1,6.506085675E1,2.547003141E1,5.754373030E0,1.536018774E0,9.303184690E1,2.934542397E0,4.201729829E0
9.483535683E1,6.506085871E1,2.547006485E1,6.021494046E0,1.528400585E0,9.107389493E1,2.974457985E0,4.421160910E0
9.583535779E1,6.506085883E1,2.547009700E1,6.281152599E0,1.568376773E0,9.022407613E1,2.982182321E0,4.512631251E0
9.683536053E1,6.506086082E1,2.547012983E1,6.631788581E0,1.559454508E0,8.723646606E1,2.973270429E0,4.535562693E0
9.783536136E1,6.506086136E1,2.547016499E1,7.080445672E0,1.554066012E0,8.956346836E1,2.957063229E0,4.360366650E0
9.883536375E1,6.506086030E1,2.547019496E1,6.965367102E0,1.553289744E0,9.102580186E1,2.975922469E0,4.439032765E0
9.983536518E1,6.506085848E1,2.547022400E1,6.598264296E0,1.558185438E0,9.288723143E1,3.010766839E0,4.526753369E0
1.008353677E2,6.506085898E1,2.547025306E1,6.208523274E0,1.552385948E0,9.180478142E1,3.072068282E0,4.611361990E0
1.018353684E2,6.506086084E1,2.547028346E1,5.794684991E0,1.539646714E0,9.029976687E1,3.095819416E0,4.628329160E0
1.028353704E2,6.506086010E1,2.547031173E1,5.601393566E0,1.540423544E0,9.313131830E1,3.124723464E0,4.579322158E0
1.038353716E2,6.506086499E1,2.547034168E1,5.076091605E0,1.556298303E0,8.570095233E1,3.230644901E0,4.710024753E0
1.048353746E2,6.506087921E1,2.547035989E1,5.081924530E0,1.506482459E0,6.286439607E1,3.308803857E0,4.945653234E0
1.058353761E2,6.506089878E1,2.547036080E1,4.883896522E0,1.530628217E0,2.991431051E1,3.301611739E0,5.043108201E0
1.068353781E2,6.506091595E1,2.547035500E1,4.860951710E0,1.545575892E0,9.518290134E0,3.272248200E0,4.873707334E0
1.078353795E2,6.506092993E1,2.547035755E1,5.148309912E0,1.559370220E0,9.237369442E0,3.272192062E0,4.867690748E0
1.088353808E2,6.506094294E1,2.547035499E1,4.972175139E0,1.543998295E0,4.567623515E0,3.270979356E0,4.720930207E0
1.098353827E2,6.506095676E1,2.547034359E1,4.814118038E0,1.557972752E0,3.546434453E2,3.293438676E0,4.681571071E0
1.108353842E2,6.506097052E1,2.547033465E1,4.747981891E0,1.565526256E0,3.489160660E2,3.301804267E0,4.926793030E0
1.118353864E2,6.506098352E1,2.547033278E1,4.516417740E0,1.548414007E0,3.532250002E2,3.236714048E0,4.651852413E0
1.128353887E2,6.506099393E1,2.547032584E1,3.709813402E0,1.479507818E0,3.516431349E2,3.262776383E0,4.604828391E0
1.138353904E2,6.506100628E1,2.547031761E1,3.504187664E0,1.499396952E0,3.475949405E2,3.223351420E0,4.540699313E0
1.148353921E2,6.506101963E1,2.547031670E1,3.459524202E0,1.544866682E0,3.518861113E2,3.224873206E0,4.714418261E0
1.158353933E2,6.506103290E1,2.547031409E1,3.515256138E0,1.550946764E0,3.535455497E2,3.206618959E0,4.505583438E0
1.168353952E2,6.506104437E1,2.547030542E1,3.329820937E0,1.548991721E0,3.496580455E2,3.187671280E0,4.595286479E0
1.178353976E2,6.506105601E1,2.547030659E1,2.876187169E0,1.539071848E0,3.539589391E2,3.182281561E0,4.712825830E0
1.188353987E2,6.506106831E1,2.547029514E1,2.797575370E0,1.534420686E0,3.490815471E2,3.133955349E0,4.553316382E0
1.198354008E2,6.506108156E1,2.547028952E1,3.193685164E0,1.544876562E0,3.515726489E2,3.158641609E0,4.331056842E0
1.208354026E2,6.506109468E1,2.547028316E1,3.131489097E0,1.555704328E0,3.482385222E2,3.190934101E0,4.575285009E0
1.218354045E2,6.506110835E1,2.547028629E1,3.281571157E0,1.555349012E0,3.571929983E2,3.147392129E0,4.346216602E0
1.228354061E2,6.506112096E1,2.547028506E1,3.307105028E0,1.551463535E0,3.584118968E2,3.170028020E0,4.370288385E0
1.238354080E2,6.506113386E1,2.547027575E1,3.460980149E0,1.551728557E0,3.521614493E2,3.186173997E0,4.362463808E0
1.248354093E2,6.506114569E1,2.547026700E1,3.151039664E0,1.533448444E0,3.492121275E2,3.197702264E0,4.373224868E0
1.258354111E2,6.506115914E1,2.547026704E1,3.511869387E0,1.550338419E0,3.552134992E2,3.202400787E0,4.385335004E0
1.268354127E2,6.506117205E1,2.547026073E1,3.960157340E0,1.544765966E0,3.545794400E2,3.217321580E0,4.388326512E0
1.278354150E2,6.506118500E1,2.547025912E1,3.968034719E0,1.524502812E0,3.578601501E2,3.228927349E0,4.439096807E0
1.288354167E2,6.506119755E1,2.547025926E1,3.941591956E0,1.506781642E0,1.527316030E0,3.321581532E0,4.607579418E0
1.298354182E2,6.506121182E1,2.547025703E1,5.096830459E0,1.525244787E0,1.870317332E0,3.387545686E0,4.775914714E0
1.308354195E2,6.506122616E1,2.547026039E1,5.366884970E0,1.548577137E0,7.206340987E0,3.484196218E0,4.793208467E0
1.318354224E2,6.506124102E1,2.547024997E1,5.823192566E0,1.545712467E0,3.579013707E2,3.650285768E0,5.048876626E0
1.328354236E2,6.506125468E1,2.547024717E1,6.219677686E0,1.503264974E0,3.591831229E2,3.705259094E0,5.120687834E0
1.338354249E2,6.506126818E1,2.547024006E1,6.589189159E0,1.514240463E0,3.574458162E2,3.791692559E0,5.310774177E0
1.348354365E2,6.506128167E1,2.547023782E1,7.150170588E0,1.504443521E0,3.593516253E2,3.891154873E0,5.385772931E0
1.358354386E2,6.506129390E1,2.547023644E1,7.921011336E0,1.451501036E0,7.214530572E-1,4.049939515E0,5.666635156E0
1.368354397E2,6.506130524E1,2.547022070E1,8.414199964E0,1.436407618E0,3.489263575E2,4.176643741E0,5.821849787E0
1.378354381E2,6.506130987E1,2.547019566E1,9.477088952E0,1.402393215E0,3.268820227E2,4.355320301E0,6.239223971E0
1.388354387E2,6.506130372E1,2.547019864E1,9.976024503E0,3.060013449E-1,2.918100645E2,4.335368966E0,5.628583077E0
1.398354355E2,6.506127243E1,2.547021616E1,9.524530333E0,1.363865541E0,1.702380626E2,4.232641087E0,4.824448938E0
1.408354319E2,6.506125453E1,2.547021014E1,9.026705529E0,1.561839914E0,1.795901127E2,4.172876431E0,5.253193917E0
1.418354275E2,6.506123869E1,2.547021859E1,9.151179147E0,1.560518180E0,1.759312932E2,4.093476209E0,5.510223712E0
1.428354232E2,6.506122487E1,2.547022000E1,9.279028363E0,1.534480198E0,1.769167670E2,4.005316416E0,5.350830328E0
1.438354193E2,6.506121075E1,2.547022464E1,9.324774174E0,1.542258786E0,1.752795152E2,4.005079653E0,5.314540672E0
1.448354167E2,6.506119483E1,2.547023031E1,9.102789213E0,1.559509978E0,1.713314236E2,3.972859556E0,5.183619564E0
1.458354142E2,6.506118010E1,2.547023356E1,8.984583563E0,1.546839387E0,1.727650105E2,3.986871048E0,5.148929782E0
1.468354099E2,6.506116519E1,2.547023901E1,8.974877605E0,1.543741945E0,1.719810801E2,3.979694523E0,5.132261031E0
1.478354068E2,6.506115110E1,2.547024285E1,8.679927459E0,1.542541231E0,1.719444596E2,3.897454521E0,5.001092394E0
1.488354028E2,6.506113765E1,2.547024428E1,8.656244793E0,1.509419042E0,1.738740816E2,3.834705745E0,4.841962824E0
1.498353992E2,6.506112361E1,2.547024642E1,8.755896388E0,1.544486237E0,1.757226283E2,3.782321232E0,4.767757445E0
1.508353963E2,6.506110997E1,2.547025693E1,8.736139421E0,1.547691883E0,1.697157331E2,3.781008640E0,4.786563206E0
1.518353939E2,6.506109536E1,2.547026380E1,8.482934291E0,1.545781742E0,1.691709985E2,3.792989535E0,4.747211199E0
1.528353909E2,6.506107979E1,2.547026397E1,8.475809021E0,1.553383627E0,1.737684878E2,3.763137963E0,4.712189812E0
1.538353885E2,6.506106443E1,2.547027253E1,8.481301177E0,1.564026073E0,1.693327429E2,3.696307214E0,4.720493267E0
1.548353860E2,6.506105172E1,2.547028379E1,8.516479911E0,1.347925031E0,1.648374203E2,3.673783474E0,4.762086664E0
1.558353838E2,6.506103821E1,2.547028194E1,8.356161538E0,1.381163381E0,1.738119761E2,3.672997183E0,4.596197322E0
1.568353822E2,6.506102458E1,2.547028650E1,8.636793228E0,1.334138793E0,1.728640770E2,3.624585252E0,4.451233942E0
1.578353817E2,6.506100991E1,2.547029372E1,8.610052937E0,1.504783770E0,1.695357253E2,3.616192820E0,4.238512802E0
1.588353791E2,6.506099610E1,2.547030559E1,8.774605178E0,1.243452960E0,1.662398600E2,3.627146285E0,4.521271718E0
1.598353785E2,6.506097893E1,2.547031301E1,8.567582234E0,1.547981416E0,1.688818843E2,3.685234135E0,4.224711435E0
1.608353777E2,6.506096717E1,2.547031423E1,8.926893923E0,1.218377901E0,1.735111484E2,3.729827003E0,4.634689910E0
1.618353766E2,6.506094974E1,2.547032028E1,8.873538222E0,1.606980092E0,1.718357269E2,3.711777400E0,4.133486381E0
1.628353759E2,6.506093853E1,2.547032784E1,8.870154365E0,1.210215624E0,1.674888132E2,3.686494176E0,4.603178470E0
1.638353750E2,6.506091941E1,2.547033039E1,8.848117321E0,1.637352411E0,1.734633711E2,3.669207505E0,4.067999257E0
1.648353748E2,6.506090701E1,2.547033305E1,8.997406910E0,1.269337437E0,1.740027080E2,3.671413586E0,4.581397018E0
1.658353736E2,6.506089013E1,2.547033739E1,8.852473243E0,1.553093819E0,1.725740716E2,3.588828566E0,3.889180589E0
1.668353738E2,6.506088034E1,2.547033425E1,8.601645548E0,1.192223223E0,1.781946721E2,3.584000168E0,4.514515637E0
1.678353739E2,6.506086815E1,2.547031709E1,8.432597395E0,1.189216088E0,1.969832940E2,3.596684841E0,4.375167645E0
1.688353729E2,6.506086266E1,2.547028180E1,8.028222030E0,1.243252472E0,2.303290660E2,3.589553524E0,4.329627234E0
1.698353735E2,6.506085989E1,2.547023304E1,7.773529567E0,1.831634006E0,2.475181077E2,3.583511655E0,4.069554943E0
1.708353733E2,6.506086376E1,2.547020171E1,7.720367056E0,1.587372488E0,2.652051869E2,3.566175380E0,4.363274981E0
1.718353728E2,6.506086837E1,2.547016846E1,7.025890757E0,1.528335147E0,2.773292344E2,3.541269270E0,4.295942645E0
1.728353733E2,6.506086847E1,2.547013033E1,6.957291335E0,1.572237899E0,2.758159425E2,3.494658968E0,4.480503794E0
1.738353740E2,6.506086896E1,2.547009553E1,6.880431143E0,1.578791989E0,2.745141495E2,3.446861350E0,4.299286973E0
1.748353750E2,6.506086822E1,2.547006111E1,7.000051626E0,1.583768721E0,2.731182415E2,3.412467497E0,4.253904980E0
1.758353742E2,6.506086516E1,2.547002660E1,7.066729365E0,1.596905562E0,2.676160743E2,3.341844120E0,4.121580920E0
1.768353750E2,6.506085952E1,2.546999370E1,7.177585725E0,1.593850197E0,2.584182093E2,3.278462156E0,4.115504113E0
1.778353753E2,6.506085618E1,2.546996104E1,6.957737014E0,1.585858635E0,2.583656726E2,3.231138334E0,3.980582444E0
1.788353764E2,6.506084760E1,2.546992937E1,7.050100440E0,1.605145871E0,2.502598976E2,3.225319372E0,3.895245072E0
